testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9342,0.9323,0.9347,0.9323,86.0138557302856
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9391,0.9366,0.9401,0.9368,86.0138557302856
cwl2-untargeted-by-resnet56v1-ver0,0.9341,0.9319,0.9346,0.9278,86.0138557302856
deepfool-untargeted-by-resnet56v1-ver0,0.8876,0.8827,0.8888,0.8835,86.0138557302856
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7345,0.7369,0.7363,0.7045,86.0138557302856
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7345,0.7369,0.7363,0.7045,86.0138557302856
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7312,0.7319,0.7319,0.7033,86.0138557302856
original,0.94,0.9375,0.9411,0.9367,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.6128,0.6304,0.61,0.6158,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7875,0.7969,0.7882,0.7969,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8067,0.8158,0.8085,0.8158,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7963,0.804,0.7962,0.7692,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8235,0.8304,0.8256,0.8304,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8562,0.8514,0.8565,0.8514,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7736,0.7786,0.7762,0.7797,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7742,0.776,0.7754,0.7662,86.0138557302856
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7639,0.7675,0.7655,0.771,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8577,0.8585,0.8575,0.8606,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.8673,0.8722,0.8675,0.8722,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5291,0.5525,0.529,0.5473,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8628,0.8654,0.8633,0.8657,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8821,0.882,0.8831,0.8843,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8716,0.8734,0.872,0.8756,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8404,0.8425,0.8395,0.8483,86.0138557302856
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8742,0.8749,0.874,0.8771,86.0138557302856
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9381,0.9348,0.938,0.9352,86.0138557302856
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.939,0.9375,0.9395,0.9366,86.0138557302856
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9378,0.9351,0.9378,0.9356,86.0138557302856
