testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9236,0.6112,0.9289,0.6231,110.45116086040606
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9284,0.6197,0.9329,0.6297,110.45116086040606
cwl2-untargeted-by-resnet56v1-ver0,0.9237,0.6111,0.9289,0.9304,110.45116086040606
deepfool-untargeted-by-resnet56v1-ver0,0.8903,0.5897,0.8932,0.8869,110.45116086040606
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7322,0.5516,0.7373,0.697,110.45116086040606
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7322,0.5516,0.7373,0.697,110.45116086040606
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7268,0.5513,0.7329,0.6928,110.45116086040606
original,0.9295,0.6199,0.9341,0.9388,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.6487,0.5536,0.6448,0.5998,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.795,0.591,0.8011,0.5921,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8097,0.5978,0.8127,0.5985,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7947,0.589,0.8003,0.7492,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8164,0.6069,0.8232,0.609,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8463,0.5704,0.8518,0.571,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7713,0.5673,0.7748,0.5679,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7743,0.5608,0.7814,0.7617,110.45116086040606
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7652,0.5624,0.7701,0.5637,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8503,0.646,0.8532,0.6519,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.8614,0.6469,0.8628,0.6536,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5652,0.5381,0.5598,0.536,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8591,0.6532,0.8607,0.6559,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8703,0.6444,0.8753,0.6483,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8704,0.6414,0.872,0.6499,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8384,0.6639,0.8394,0.8443,110.45116086040606
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8677,0.6431,0.8682,0.6492,110.45116086040606
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9287,0.618,0.9331,0.9371,110.45116086040606
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9277,0.6186,0.9335,0.9376,110.45116086040606
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9279,0.6178,0.9334,0.9373,110.45116086040606
