testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.934,0.9262,0.935,0.9267,147.8986078555462
cwl2-targeted-to-least-by-resnet56v1-ver0,0.938,0.9278,0.9386,0.9287,147.8986078555462
cwl2-untargeted-by-resnet56v1-ver0,0.934,0.9262,0.9349,0.9317,147.8986078555462
deepfool-untargeted-by-resnet56v1-ver0,0.887,0.8745,0.8872,0.885,147.8986078555462
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.875,0.9164,0.88,0.9142,147.8986078555462
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.875,0.9164,0.88,0.9142,147.8986078555462
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8758,0.9149,0.8794,0.9143,147.8986078555462
original,0.9381,0.9277,0.9388,0.938,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.8369,0.9174,0.8415,0.9141,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.8899,0.9153,0.8929,0.9153,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8973,0.9122,0.8998,0.9126,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.9004,0.9188,0.9031,0.9155,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.9008,0.9166,0.9025,0.9168,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.888,0.8976,0.8898,0.8986,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8732,0.9059,0.8755,0.9059,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.8764,0.9096,0.8795,0.9049,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.8745,0.908,0.8777,0.9089,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.9002,0.9233,0.9009,0.9235,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.9045,0.9247,0.9044,0.9247,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7902,0.9082,0.7955,0.9063,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8997,0.9223,0.9005,0.9226,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8984,0.9121,0.8994,0.9121,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.9019,0.9215,0.9023,0.922,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8776,0.9172,0.8783,0.909,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.9028,0.9234,0.9046,0.9245,147.8986078555462
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9371,0.9274,0.9369,0.9368,147.8986078555462
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9374,0.9274,0.938,0.9377,147.8986078555462
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9369,0.9275,0.9365,0.9366,147.8986078555462
