testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9341,0.9274,0.9346,0.9286,147.8986078555462
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9379,0.928,0.9384,0.9285,147.8986078555462
cwl2-untargeted-by-resnet56v1-ver0,0.934,0.9275,0.9343,0.9309,147.8986078555462
deepfool-untargeted-by-resnet56v1-ver0,0.8876,0.8778,0.8881,0.8861,147.8986078555462
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.8741,0.9172,0.8801,0.9148,147.8986078555462
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.8741,0.9172,0.8801,0.9148,147.8986078555462
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8749,0.9171,0.8792,0.9138,147.8986078555462
original,0.9382,0.9281,0.9388,0.9376,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.8362,0.9175,0.8397,0.913,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.8927,0.9152,0.8939,0.9152,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8969,0.9103,0.8991,0.9105,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.9007,0.9204,0.9027,0.9166,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.9021,0.9185,0.9015,0.9185,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.887,0.8973,0.8884,0.8993,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8722,0.9054,0.8748,0.9069,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.8781,0.9118,0.8801,0.903,147.8986078555462
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.874,0.9069,0.8763,0.9072,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.899,0.9227,0.9001,0.924,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.9051,0.9239,0.9046,0.9239,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7894,0.9075,0.7932,0.9026,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8991,0.9216,0.9003,0.923,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8964,0.9073,0.8975,0.9085,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.9031,0.9227,0.9029,0.9228,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8774,0.9156,0.8794,0.909,147.8986078555462
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.9022,0.9226,0.9035,0.9237,147.8986078555462
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9367,0.9275,0.937,0.9363,147.8986078555462
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9373,0.928,0.9383,0.9368,147.8986078555462
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9366,0.9282,0.9371,0.9363,147.8986078555462
