testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9337,0.9277,0.9343,0.9277,149.7547331019959
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9382,0.9295,0.9385,0.9295,149.7547331019959
cwl2-untargeted-by-resnet56v1-ver0,0.9335,0.9276,0.934,0.9334,149.7547331019959
deepfool-untargeted-by-resnet56v1-ver0,0.887,0.8769,0.8873,0.8865,149.7547331019959
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.874,0.916,0.8799,0.9147,149.7547331019959
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.874,0.916,0.8799,0.9147,149.7547331019959
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8739,0.9166,0.878,0.9144,149.7547331019959
original,0.9385,0.9295,0.9388,0.9381,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.8381,0.917,0.8422,0.9143,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.8896,0.9133,0.8918,0.9134,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8961,0.911,0.8989,0.9111,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.8991,0.9197,0.9033,0.9165,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.9009,0.919,0.9028,0.919,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8887,0.9,0.8895,0.9001,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8735,0.9062,0.8756,0.9064,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.8776,0.9107,0.8788,0.9056,149.7547331019959
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.8732,0.9079,0.8747,0.9081,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8988,0.9245,0.9002,0.9247,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.9046,0.9242,0.9049,0.9243,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7917,0.9077,0.7953,0.906,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8991,0.9223,0.9005,0.9228,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8979,0.9078,0.8993,0.9083,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.9017,0.9203,0.9024,0.9225,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8784,0.9179,0.8799,0.9117,149.7547331019959
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.9009,0.9239,0.9031,0.9239,149.7547331019959
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9379,0.9291,0.9367,0.9369,149.7547331019959
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9377,0.9294,0.9376,0.9372,149.7547331019959
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9372,0.9291,0.9364,0.9372,149.7547331019959
