testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.934,0.9267,0.9354,0.9273,143.21193691002415
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9364,0.9288,0.9381,0.9293,143.21193691002415
cwl2-untargeted-by-resnet56v1-ver0,0.9339,0.9267,0.9354,0.9304,143.21193691002415
deepfool-untargeted-by-resnet56v1-ver0,0.8865,0.8781,0.888,0.8866,143.21193691002415
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.8534,0.9029,0.8556,0.8984,143.21193691002415
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.8534,0.9029,0.8556,0.8984,143.21193691002415
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8516,0.9038,0.8545,0.8957,143.21193691002415
original,0.937,0.9289,0.9386,0.9384,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.813,0.905,0.8165,0.8993,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.8895,0.9154,0.8921,0.9159,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8955,0.916,0.8988,0.9165,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.8935,0.9168,0.896,0.9095,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8995,0.9171,0.9009,0.9174,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8974,0.912,0.8996,0.913,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8784,0.913,0.8822,0.914,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.8868,0.9175,0.8893,0.9139,143.21193691002415
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.8805,0.9138,0.8844,0.9145,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8985,0.922,0.8991,0.9224,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.9039,0.9251,0.9053,0.9255,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7601,0.8858,0.7628,0.8757,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8987,0.9218,0.8998,0.9219,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.9032,0.9133,0.9041,0.9141,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.9038,0.9234,0.9039,0.9237,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8809,0.919,0.883,0.9158,143.21193691002415
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.9054,0.9242,0.9068,0.9248,143.21193691002415
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9369,0.9274,0.9372,0.9344,143.21193691002415
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9373,0.9277,0.938,0.9348,143.21193691002415
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.937,0.9274,0.9373,0.9346,143.21193691002415
