testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9324,0.9225,0.9333,0.923,63.06013327552098
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9364,0.9238,0.9365,0.9242,63.06013327552098
cwl2-untargeted-by-resnet56v1-ver0,0.9323,0.9226,0.9333,0.9299,63.06013327552098
deepfool-untargeted-by-resnet56v1-ver0,0.8863,0.8729,0.8865,0.8867,63.06013327552098
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.8524,0.8974,0.8546,0.8942,63.06013327552098
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.8524,0.8974,0.8546,0.8942,63.06013327552098
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8513,0.8961,0.8528,0.8926,63.06013327552098
original,0.937,0.9242,0.9371,0.9385,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.821,0.9025,0.8226,0.8988,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.8788,0.9017,0.8817,0.903,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.883,0.9019,0.8857,0.9029,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.8836,0.9056,0.885,0.8993,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8877,0.9034,0.8896,0.9037,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8948,0.9039,0.8969,0.9053,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8781,0.9099,0.8813,0.9108,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.8845,0.9116,0.8865,0.9091,63.06013327552098
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.8768,0.9081,0.8798,0.9097,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.9001,0.9192,0.9003,0.9202,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.9046,0.9186,0.9055,0.9195,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7717,0.8892,0.7735,0.8845,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.9004,0.9186,0.9013,0.9187,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.9054,0.9136,0.9061,0.9142,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.907,0.9221,0.9081,0.9221,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8868,0.9224,0.8894,0.9168,63.06013327552098
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.9062,0.9209,0.9073,0.922,63.06013327552098
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.936,0.9238,0.936,0.9368,63.06013327552098
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9369,0.9235,0.9368,0.9374,63.06013327552098
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9357,0.9235,0.9355,0.9368,63.06013327552098
