testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.934,0.9267,0.9331,0.9267,157.30536953819913
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9369,0.9272,0.9377,0.9272,157.30536953819913
cwl2-untargeted-by-resnet56v1-ver0,0.9338,0.9269,0.9331,0.9322,157.30536953819913
deepfool-untargeted-by-resnet56v1-ver0,0.8863,0.8772,0.8864,0.8868,157.30536953819913
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.8693,0.9133,0.8733,0.9089,157.30536953819913
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.8693,0.9133,0.8733,0.9089,157.30536953819913
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8689,0.9117,0.8717,0.9099,157.30536953819913
original,0.9371,0.9273,0.9379,0.9373,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.8377,0.915,0.8428,0.9126,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.887,0.9118,0.8891,0.9119,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8931,0.9109,0.8951,0.9109,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.8987,0.9178,0.9016,0.9146,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.9003,0.9154,0.9008,0.9169,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8838,0.8949,0.8851,0.895,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8683,0.9022,0.8706,0.9027,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.873,0.9046,0.8753,0.9003,157.30536953819913
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.8702,0.9034,0.8721,0.9039,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8984,0.92,0.8989,0.9217,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.9033,0.9243,0.9049,0.9244,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7926,0.9058,0.7937,0.9006,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.9004,0.9196,0.9008,0.9205,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8972,0.9069,0.8985,0.9079,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.9024,0.921,0.9037,0.9212,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8764,0.9141,0.8782,0.9116,157.30536953819913
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.9024,0.9209,0.9028,0.9214,157.30536953819913
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9359,0.9274,0.9358,0.9365,157.30536953819913
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9362,0.928,0.9361,0.9371,157.30536953819913
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9358,0.9274,0.9357,0.9368,157.30536953819913
