testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9357,0.929,0.9376,0.9291,153.61881936525455
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9381,0.932,0.9395,0.9322,153.61881936525455
cwl2-untargeted-by-resnet56v1-ver0,0.9354,0.929,0.9372,0.9312,153.61881936525455
deepfool-untargeted-by-resnet56v1-ver0,0.8878,0.8807,0.8884,0.8854,153.61881936525455
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.8506,0.8982,0.8542,0.8992,153.61881936525455
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.8506,0.8982,0.8542,0.8992,153.61881936525455
fgm-eps216-untargeted-by-resnet56v1-ver0,0.8493,0.8977,0.8521,0.8968,153.61881936525455
original,0.9384,0.9318,0.9399,0.938,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.8117,0.9021,0.8137,0.9003,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.8908,0.9177,0.8938,0.9179,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.9004,0.9211,0.9047,0.9216,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.8993,0.9206,0.9022,0.9159,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.9045,0.9228,0.9056,0.9228,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8848,0.8968,0.8851,0.8969,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.8619,0.898,0.8648,0.8991,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.8636,0.9034,0.8666,0.8926,153.61881936525455
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.8602,0.8979,0.8629,0.9009,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.892,0.9176,0.8925,0.9186,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.8998,0.9206,0.8993,0.9207,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.7568,0.8766,0.7616,0.8759,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8949,0.9174,0.8961,0.9174,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8924,0.9032,0.8942,0.9033,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8964,0.9159,0.896,0.916,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8679,0.9002,0.8687,0.8964,153.61881936525455
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8967,0.9156,0.8974,0.916,153.61881936525455
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9384,0.931,0.9385,0.9352,153.61881936525455
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.938,0.9309,0.9394,0.937,153.61881936525455
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9381,0.931,0.9385,0.9355,153.61881936525455
