testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9348,0.9332,0.9362,0.935,79.63245228229884
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9393,0.9365,0.939,0.9368,79.63245228229884
cwl2-untargeted-by-resnet56v1-ver0,0.9346,0.933,0.9358,0.9291,79.63245228229884
deepfool-untargeted-by-resnet56v1-ver0,0.8873,0.8853,0.8879,0.8847,79.63245228229884
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7357,0.7364,0.7349,0.7015,79.63245228229884
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7357,0.7364,0.7349,0.7015,79.63245228229884
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7305,0.7309,0.7296,0.7007,79.63245228229884
original,0.9403,0.9377,0.9403,0.9377,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.6118,0.6263,0.6097,0.6239,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7843,0.7852,0.7851,0.7867,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8043,0.8079,0.8073,0.808,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7896,0.7946,0.791,0.7576,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8179,0.822,0.8185,0.8226,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.855,0.8519,0.8553,0.8526,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7729,0.7737,0.7742,0.7743,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7715,0.7724,0.7731,0.7676,79.63245228229884
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7619,0.7652,0.7642,0.766,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8583,0.8632,0.8582,0.864,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.8662,0.8708,0.8659,0.8709,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5269,0.5468,0.5268,0.5468,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8619,0.8663,0.8624,0.8665,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8809,0.8822,0.8812,0.8833,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8719,0.8732,0.8719,0.8763,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8395,0.8417,0.8395,0.8457,79.63245228229884
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8729,0.874,0.8725,0.8758,79.63245228229884
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9394,0.9358,0.9386,0.9354,79.63245228229884
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9388,0.9374,0.9396,0.9366,79.63245228229884
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9397,0.9365,0.9389,0.9361,79.63245228229884
