testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9348,0.9344,0.9354,0.9346,79.61467792714079
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9391,0.9383,0.9388,0.9386,79.61467792714079
cwl2-untargeted-by-resnet56v1-ver0,0.9349,0.9344,0.9355,0.9309,79.61467792714079
deepfool-untargeted-by-resnet56v1-ver0,0.8881,0.8872,0.8888,0.8851,79.61467792714079
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7314,0.7306,0.7319,0.7009,79.61467792714079
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7314,0.7306,0.7319,0.7009,79.61467792714079
fgm-eps216-untargeted-by-resnet56v1-ver0,0.728,0.7276,0.7275,0.7006,79.61467792714079
original,0.9398,0.9389,0.9398,0.937,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.6091,0.6198,0.6093,0.6198,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7835,0.7866,0.785,0.7866,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8018,0.8029,0.8013,0.8029,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7883,0.7911,0.7885,0.7565,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8166,0.8174,0.8184,0.8174,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8536,0.8522,0.8533,0.8531,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7705,0.771,0.7729,0.7735,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7681,0.7682,0.772,0.7651,79.61467792714079
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7618,0.7618,0.7617,0.7623,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8575,0.8606,0.8585,0.8606,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.8663,0.8683,0.8658,0.8684,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5233,0.5379,0.5209,0.5396,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8607,0.8639,0.8613,0.8639,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8805,0.8828,0.8814,0.8838,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8712,0.8723,0.8711,0.8749,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8398,0.843,0.8396,0.8451,79.61467792714079
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8716,0.8733,0.8716,0.8757,79.61467792714079
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.939,0.9382,0.939,0.936,79.61467792714079
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9393,0.9382,0.9398,0.9367,79.61467792714079
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9396,0.9379,0.9397,0.9353,79.61467792714079
