testing_dataset,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all,entropy_threshold
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9345,0.9323,0.936,0.9336,79.81709946091024
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9392,0.9375,0.9399,0.938,79.81709946091024
cwl2-untargeted-by-resnet56v1-ver0,0.9342,0.9326,0.9357,0.93,79.81709946091024
deepfool-untargeted-by-resnet56v1-ver0,0.887,0.8852,0.8882,0.8849,79.81709946091024
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7339,0.7347,0.7333,0.7055,79.81709946091024
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7339,0.7347,0.7333,0.7055,79.81709946091024
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7287,0.728,0.7303,0.7017,79.81709946091024
original,0.9402,0.9385,0.9409,0.9388,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.611,0.6234,0.6111,0.628,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7818,0.7883,0.7841,0.7895,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.8034,0.8094,0.8061,0.8096,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7882,0.7949,0.7893,0.7486,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8165,0.8191,0.8182,0.8191,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8544,0.8513,0.8558,0.8534,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7724,0.7742,0.7722,0.7771,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7694,0.7694,0.7729,0.768,79.81709946091024
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7596,0.7607,0.7605,0.764,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8598,0.864,0.859,0.864,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.8663,0.8695,0.866,0.8695,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5272,0.544,0.5257,0.5434,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8616,0.8645,0.8619,0.8649,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8812,0.8832,0.8821,0.8866,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.871,0.873,0.8718,0.8739,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.839,0.8417,0.8392,0.8453,79.81709946091024
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8709,0.8754,0.8719,0.8756,79.81709946091024
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9392,0.9377,0.9391,0.9354,79.81709946091024
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9393,0.9373,0.9399,0.9361,79.81709946091024
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9395,0.9359,0.9397,0.9361,79.81709946091024
