logifold_type,entropy_threshold,simple_label,generator_family,Adv_using_history,average_voting_by_Judges,simple_majority_voting_by_Judges,simple_majority_voting_by_all,average_voting_by_all,Adv - judges_avg,Adv - All_avg,Adv - judges_majority,Adv - All_majority
CWL2_untargeted,86.0138557302856,"pgd(2nd, big)",resnet,0.6158,0.5952,0.5967,0.6128,0.61,0.020600000000000063,0.005800000000000027,0.019100000000000006,0.0030000000000000027
CWL2_untargeted,86.0138557302856,pgd(big),resnet,0.78645,0.7713,0.772125,0.7792250000000001,0.779325,0.015149999999999997,0.007124999999999937,0.014325000000000032,0.007224999999999926
CWL2_untargeted,86.0138557302856,"pgd(least, big)",resnet,0.803075,0.7903249999999999,0.7889999999999999,0.8035,0.804625,0.012750000000000039,-0.0015500000000000513,0.01407500000000006,-0.0004250000000000087
CWL2_untargeted,86.0138557302856,"pgd(least, big)",vgg,0.792075,0.78515,0.783525,0.791975,0.7934,0.006924999999999959,-0.0013250000000000206,0.008549999999999947,9.999999999998899e-05
CWL2_untargeted,86.0138557302856,pgd(big),vgg,0.871325,0.8648750000000001,0.86455,0.867075,0.86715,0.006449999999999956,0.00417500000000004,0.0067749999999999755,0.004249999999999976
CWL2_untargeted,86.0138557302856,cwl2(2nd),resnet,0.9323,0.9349,0.9336,0.9342,0.9347,-0.0025999999999999357,-0.0023999999999999577,-0.0012999999999999678,-0.0019000000000000128
CWL2_untargeted,86.0138557302856,cwl2(least),resnet,0.9368,0.9394,0.9385,0.9391,0.9401,-0.0026000000000000467,-0.0033000000000000806,-0.0017000000000000348,-0.0023000000000000798
CWL2_untargeted,86.0138557302856,"pgd(least, std)",resnet,0.9366,0.9401,0.939,0.939,0.9395,-0.0035000000000000586,-0.0029000000000000137,-0.0023999999999999577,-0.0023999999999999577
CWL2_untargeted,86.0138557302856,"pgd(2nd, std)",resnet,0.9352,0.9388,0.9386,0.9381,0.938,-0.0035999999999999366,-0.0027999999999999137,-0.0033999999999999586,-0.0029000000000000137
CWL2_untargeted,86.0138557302856,pgd(std),resnet,0.9356,0.9393,0.9388,0.9378,0.9378,-0.0037000000000000366,-0.0021999999999999797,-0.0031999999999999806,-0.0021999999999999797
CWL2_untargeted,86.0138557302856,original,,0.9367,0.9408,0.94,0.94,0.9411,-0.0040999999999999925,-0.0044000000000000705,-0.0032999999999999696,-0.0032999999999999696
CWL2_untargeted,86.0138557302856,DF,resnet,0.8835,0.8893,0.8875,0.8876,0.8888,-0.005800000000000027,-0.005300000000000082,-0.0040000000000000036,-0.0040999999999999925
CWL2_untargeted,86.0138557302856,cwl2,resnet,0.9278,0.9347,0.9336,0.9341,0.9346,-0.006900000000000017,-0.006800000000000028,-0.005800000000000027,-0.006300000000000083
