model,dataset,accuracy
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8344
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8428
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7883
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.9003
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8005
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8124
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.806
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8472
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8612
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8096
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8253
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8292
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8343
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7912
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.797
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7757
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7928
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8269
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8343
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8059
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.818
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.813
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.81
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8219
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.827
resnet20v1_original_tuned-once-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8955
resnet20v1_original_tuned-once-on_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8894
resnet20v1_original_tuned-once-on_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8941
resnet20v1_original_tuned-once-on_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8902
resnet20v1_original_tuned-once-on_original_ver4,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8858
resnet20v1_original_tuned-once-on_original_ver5,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8839
resnet20v1_original_tuned-once-on_original_ver6,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8897
resnet20v1_original_tuned-once-on_original_ver7,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.889
resnet20v1_original_tuned-thrice-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8826
resnet20v1_original_tuned-twice-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8835
resnet20v1_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7839
resnet20v1_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8169
resnet20v1_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8102
resnet20v1_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8243
resnet20v1_original_ver4,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8104
resnet20v1_original_ver5,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8278
resnet20v1_original_ver6,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8104
resnet20v1_original_ver7,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7768
resnet20v2_original_tuned-once-on_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8956
resnet20v2_original_tuned-once-on_original_ver1,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8924
resnet20v2_original_tuned-once-on_original_ver2,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8972
resnet20v2_original_tuned-once-on_original_ver3,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.8941
resnet20v2_original_ver0,cwl2-targeted-to-2nd-by-resnet56v1-ver0_test,0.7642
