testing_dataset,simple_majority_voting_by_Judges,weighted_voting_by_Judges,average_voting_by_Judges,using_val_history_by_Judges,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9336,0.9338,0.9349,0.9348,0.934,0.9345,0.935,0.9362
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9385,0.9388,0.9394,0.9399,0.938,0.9387,0.9386,0.94
cwl2-untargeted-by-resnet56v1-ver0,0.9336,0.9338,0.9347,0.9304,0.934,0.9343,0.9349,0.9313
deepfool-untargeted-by-resnet56v1-ver0,0.8875,0.8881,0.8893,0.8869,0.887,0.8884,0.8872,0.8865
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.875,0.8614,0.88,0.8341
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.875,0.8614,0.88,0.8341
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7213,0.7229,0.7232,0.6934,0.8758,0.8581,0.8794,0.8324
original,0.94,0.9407,0.9408,0.9388,0.9381,0.9389,0.9388,0.9387
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.5967,0.6002,0.5952,0.6002,0.8369,0.8048,0.8415,0.8048
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7766,0.7757,0.7771,0.7757,0.8899,0.8776,0.8929,0.878
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.7926,0.7929,0.7963,0.7929,0.8973,0.8861,0.8998,0.8861
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7786,0.779,0.7775,0.7509,0.9004,0.8888,0.9031,0.862
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8082,0.8087,0.8104,0.8087,0.9008,0.891,0.9025,0.891
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8519,0.8517,0.852,0.852,0.888,0.8849,0.8898,0.8852
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7662,0.7652,0.7672,0.7678,0.8732,0.8647,0.8755,0.8647
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7629,0.764,0.7661,0.7622,0.8764,0.8646,0.8795,0.8385
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7531,0.7535,0.7553,0.7565,0.8745,0.8626,0.8777,0.864
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8572,0.8594,0.8564,0.8594,0.9002,0.8963,0.9009,0.8963
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.863,0.8656,0.863,0.8656,0.9045,0.9004,0.9044,0.9004
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5101,0.5127,0.5063,0.5127,0.7902,0.7498,0.7955,0.7498
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8582,0.8605,0.8595,0.8605,0.8997,0.8969,0.9005,0.8969
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.88,0.8822,0.8814,0.8836,0.8984,0.8971,0.8994,0.8972
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8695,0.8706,0.8699,0.871,0.9019,0.8976,0.9023,0.8977
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8376,0.839,0.8376,0.8441,0.8776,0.8725,0.8783,0.8655
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8711,0.8712,0.8706,0.8749,0.9028,0.8982,0.9046,0.8982
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9386,0.9391,0.9388,0.9371,0.9371,0.9382,0.9369,0.9368
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.939,0.9381,0.9401,0.9376,0.9374,0.9388,0.938,0.9376
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9388,0.9397,0.9393,0.9373,0.9369,0.9381,0.9365,0.9369
