testing_dataset,simple_majority_voting_by_Judges,weighted_voting_by_Judges,average_voting_by_Judges,using_val_history_by_Judges,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9336,0.9338,0.9349,0.9348,0.9341,0.9349,0.9346,0.9352
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9385,0.9388,0.9394,0.9399,0.9379,0.9379,0.9384,0.9395
cwl2-untargeted-by-resnet56v1-ver0,0.9336,0.9338,0.9347,0.9304,0.934,0.9346,0.9343,0.9312
deepfool-untargeted-by-resnet56v1-ver0,0.8875,0.8881,0.8893,0.8869,0.8876,0.887,0.8881,0.8871
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.8741,0.86,0.8801,0.8492
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.8741,0.86,0.8801,0.8492
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7213,0.7229,0.7232,0.6934,0.8749,0.859,0.8792,0.8288
original,0.94,0.9407,0.9408,0.9388,0.9382,0.9384,0.9388,0.939
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.5967,0.6002,0.5952,0.6002,0.8362,0.8043,0.8397,0.8045
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7766,0.7757,0.7771,0.7757,0.8927,0.879,0.8939,0.8798
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.7926,0.7929,0.7963,0.7929,0.8969,0.8839,0.8991,0.8839
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7786,0.779,0.7775,0.7509,0.9007,0.8906,0.9027,0.862
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8082,0.8087,0.8104,0.8087,0.9021,0.8934,0.9015,0.8934
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8519,0.8517,0.852,0.852,0.887,0.8838,0.8884,0.8839
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7662,0.7652,0.7672,0.7678,0.8722,0.8637,0.8748,0.8639
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7629,0.764,0.7661,0.7622,0.8781,0.8644,0.8801,0.8373
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7531,0.7535,0.7553,0.7565,0.874,0.8632,0.8763,0.8639
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8572,0.8594,0.8564,0.8594,0.899,0.8945,0.9001,0.8946
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.863,0.8656,0.863,0.8656,0.9051,0.9012,0.9046,0.9013
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5101,0.5127,0.5063,0.5127,0.7894,0.7496,0.7932,0.7496
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8582,0.8605,0.8595,0.8605,0.8991,0.8973,0.9003,0.8973
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.88,0.8822,0.8814,0.8836,0.8964,0.8957,0.8975,0.8958
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8695,0.8706,0.8699,0.871,0.9031,0.898,0.9029,0.898
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8376,0.839,0.8376,0.8441,0.8774,0.8721,0.8794,0.8653
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8711,0.8712,0.8706,0.8749,0.9022,0.898,0.9035,0.8981
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9386,0.9391,0.9388,0.9371,0.9367,0.937,0.937,0.9374
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.939,0.9381,0.9401,0.9376,0.9373,0.938,0.9383,0.9374
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9388,0.9397,0.9393,0.9373,0.9366,0.937,0.9371,0.9373
