testing_dataset,simple_majority_voting_by_Judges,weighted_voting_by_Judges,average_voting_by_Judges,using_val_history_by_Judges,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9336,0.9338,0.9349,0.9348,0.9357,0.9364,0.9376,0.9368
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9385,0.9388,0.9394,0.9399,0.9381,0.9389,0.9395,0.9399
cwl2-untargeted-by-resnet56v1-ver0,0.9336,0.9338,0.9347,0.9304,0.9354,0.936,0.9372,0.9313
deepfool-untargeted-by-resnet56v1-ver0,0.8875,0.8881,0.8893,0.8869,0.8878,0.8884,0.8884,0.8877
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.8506,0.8403,0.8542,0.8139
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.8506,0.8403,0.8542,0.8139
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7213,0.7229,0.7232,0.6934,0.8493,0.8363,0.8521,0.8111
original,0.94,0.9407,0.9408,0.9388,0.9384,0.9391,0.9399,0.9391
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.5967,0.6002,0.5952,0.6002,0.8117,0.7825,0.8137,0.7826
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7766,0.7757,0.7771,0.7757,0.8908,0.8766,0.8938,0.8781
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.7926,0.7929,0.7963,0.7929,0.9004,0.8911,0.9047,0.8917
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7786,0.779,0.7775,0.7509,0.8993,0.8874,0.9022,0.8633
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8082,0.8087,0.8104,0.8087,0.9045,0.8969,0.9056,0.8972
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8519,0.8517,0.852,0.852,0.8848,0.8814,0.8851,0.8815
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7662,0.7652,0.7672,0.7678,0.8619,0.8537,0.8648,0.8542
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7629,0.764,0.7661,0.7622,0.8636,0.8532,0.8666,0.8294
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7531,0.7535,0.7553,0.7565,0.8602,0.8495,0.8629,0.8502
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8572,0.8594,0.8564,0.8594,0.892,0.8896,0.8925,0.8896
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.863,0.8656,0.863,0.8656,0.8998,0.8966,0.8993,0.8966
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5101,0.5127,0.5063,0.5127,0.7568,0.7256,0.7616,0.7262
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8582,0.8605,0.8595,0.8605,0.8949,0.8926,0.8961,0.8927
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.88,0.8822,0.8814,0.8836,0.8924,0.8945,0.8942,0.8948
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8695,0.8706,0.8699,0.871,0.8964,0.8934,0.896,0.8936
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8376,0.839,0.8376,0.8441,0.8679,0.8652,0.8687,0.8608
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8711,0.8712,0.8706,0.8749,0.8967,0.8939,0.8974,0.8939
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9386,0.9391,0.9388,0.9371,0.9384,0.9389,0.9385,0.9378
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.939,0.9381,0.9401,0.9376,0.938,0.9394,0.9394,0.9379
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9388,0.9397,0.9393,0.9373,0.9381,0.9387,0.9385,0.938
