testing_dataset,simple_majority_voting_by_Judges,weighted_voting_by_Judges,average_voting_by_Judges,using_val_history_by_Judges,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9336,0.9338,0.9349,0.9348,0.9348,0.9352,0.9354,0.9352
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9385,0.9388,0.9394,0.9399,0.9391,0.9386,0.9388,0.9391
cwl2-untargeted-by-resnet56v1-ver0,0.9336,0.9338,0.9347,0.9304,0.9349,0.9353,0.9355,0.911
deepfool-untargeted-by-resnet56v1-ver0,0.8875,0.8881,0.8893,0.8869,0.8881,0.8873,0.8888,0.8695
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.7314,0.732,0.7319,0.6931
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.7314,0.732,0.7319,0.6931
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7213,0.7229,0.7232,0.6934,0.728,0.7268,0.7275,0.6896
original,0.94,0.9407,0.9408,0.9388,0.9398,0.9392,0.9398,0.9406
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.5967,0.6002,0.5952,0.6002,0.6091,0.6086,0.6093,0.6094
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7766,0.7757,0.7771,0.7757,0.7835,0.781,0.785,0.781
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.7926,0.7929,0.7963,0.7929,0.8018,0.797,0.8013,0.797
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7786,0.779,0.7775,0.7509,0.7883,0.7862,0.7885,0.7486
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8082,0.8087,0.8104,0.8087,0.8166,0.8141,0.8184,0.8141
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8519,0.8517,0.852,0.852,0.8536,0.8528,0.8533,0.853
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7662,0.7652,0.7672,0.7678,0.7705,0.7715,0.7729,0.7715
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7629,0.764,0.7661,0.7622,0.7681,0.7683,0.772,0.7348
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7531,0.7535,0.7553,0.7565,0.7618,0.7602,0.7617,0.7602
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8572,0.8594,0.8564,0.8594,0.8575,0.8585,0.8585,0.8585
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.863,0.8656,0.863,0.8656,0.8663,0.8662,0.8658,0.8667
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5101,0.5127,0.5063,0.5127,0.5233,0.5234,0.5209,0.523
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8582,0.8605,0.8595,0.8605,0.8607,0.8615,0.8613,0.8615
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.88,0.8822,0.8814,0.8836,0.8805,0.8822,0.8814,0.8822
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8695,0.8706,0.8699,0.871,0.8712,0.8711,0.8711,0.8716
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8376,0.839,0.8376,0.8441,0.8398,0.84,0.8396,0.7939
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8711,0.8712,0.8706,0.8749,0.8716,0.8728,0.8716,0.8728
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9386,0.9391,0.9388,0.9371,0.939,0.9385,0.939,0.9385
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.939,0.9381,0.9401,0.9376,0.9393,0.9389,0.9398,0.9389
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9388,0.9397,0.9393,0.9373,0.9396,0.9387,0.9397,0.9387
