testing_dataset,simple_majority_voting_by_Judges,weighted_voting_by_Judges,average_voting_by_Judges,using_val_history_by_Judges,simple_majority_voting_by_all,weighted_voting_by_all,average_voting_by_all,using_val_history_by_all
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9336,0.9338,0.9349,0.9348,0.9345,0.9356,0.936,0.9356
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9385,0.9388,0.9394,0.9399,0.9392,0.9393,0.9399,0.9395
cwl2-untargeted-by-resnet56v1-ver0,0.9336,0.9338,0.9347,0.9304,0.9342,0.9352,0.9357,0.9035
deepfool-untargeted-by-resnet56v1-ver0,0.8875,0.8881,0.8893,0.8869,0.887,0.8867,0.8882,0.8594
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.7339,0.7331,0.7333,0.6901
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7274,0.729,0.7264,0.6974,0.7339,0.7331,0.7333,0.6901
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7213,0.7229,0.7232,0.6934,0.7287,0.7271,0.7303,0.6871
original,0.94,0.9407,0.9408,0.9388,0.9402,0.9404,0.9409,0.941
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.5967,0.6002,0.5952,0.6002,0.611,0.6111,0.6111,0.6116
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7766,0.7757,0.7771,0.7757,0.7818,0.7784,0.7841,0.782
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.7926,0.7929,0.7963,0.7929,0.8034,0.7997,0.8061,0.8007
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7786,0.779,0.7775,0.7509,0.7882,0.7853,0.7893,0.7432
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8082,0.8087,0.8104,0.8087,0.8165,0.8139,0.8182,0.8146
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.8519,0.8517,0.852,0.852,0.8544,0.8527,0.8558,0.8534
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7662,0.7652,0.7672,0.7678,0.7724,0.7724,0.7722,0.7724
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7629,0.764,0.7661,0.7622,0.7694,0.7676,0.7729,0.7323
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7531,0.7535,0.7553,0.7565,0.7596,0.7592,0.7605,0.7592
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8572,0.8594,0.8564,0.8594,0.8598,0.8612,0.859,0.8612
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.863,0.8656,0.863,0.8656,0.8663,0.8673,0.866,0.8673
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5101,0.5127,0.5063,0.5127,0.5272,0.5261,0.5257,0.5254
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8582,0.8605,0.8595,0.8605,0.8616,0.8623,0.8619,0.8623
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.88,0.8822,0.8814,0.8836,0.8812,0.8821,0.8821,0.8834
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8695,0.8706,0.8699,0.871,0.871,0.8721,0.8718,0.8721
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8376,0.839,0.8376,0.8441,0.839,0.8399,0.8392,0.8399
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8711,0.8712,0.8706,0.8749,0.8709,0.8717,0.8719,0.8731
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9386,0.9391,0.9388,0.9371,0.9392,0.9391,0.9391,0.9391
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.939,0.9381,0.9401,0.9376,0.9393,0.9391,0.9399,0.9396
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9388,0.9397,0.9393,0.9373,0.9395,0.9399,0.9397,0.94
