testing_model_structure,testing_model_type,testing_model_augmentation,testing_model_idx,D_attack_type,D_attack_direction,D_generating_model,D_idx,acc,loss
ResNet20v1,ff,cw,0,cwl2,untargeted,ResNet56v1,1,0.101000003516674,9.872445106506348
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,1,0.1229000017046928,4.16754961013794
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v2,2,0.1270000040531158,4.091645240783691
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v2,2,0.1688999980688095,3.614792585372925
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v2,3,0.258899986743927,3.210249900817871
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,0,0.214599996805191,3.38458251953125
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v2,1,0.2226999998092651,3.378514528274536
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v2,1,0.131400004029274,4.004680633544922
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,6,0.0962999984622001,4.3305983543396
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,5,0.2395000010728836,3.31079363822937
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v2,3,0.1534000039100647,3.9695370197296143
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v2,2,0.2535000145435333,3.17747163772583
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v1,3,0.0737999975681305,4.816849708557129
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v2,3,0.0917000025510788,4.517258644104004
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v2,3,0.1710000038146972,3.5761094093322754
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v2,1,0.3382999897003174,2.8149964809417725
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v1,1,0.0851999968290329,4.78414249420166
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v1,3,0.1665000021457672,3.922218084335327
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,7,0.1471000015735626,4.063201904296875
ResNet20v1,ff,cw,0,pgd,targeted_2nd,ResNet56v1,7,0.0627999976277351,5.484549522399902
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,1,0.2110999971628189,3.4788105487823486
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v1,2,0.1305000036954879,4.333229064941406
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v1,2,0.2651000022888183,3.2896437644958496
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v2,1,0.2698999941349029,3.130683183670044
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v2,0,0.1064999997615814,4.177350997924805
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v1,1,0.1700000017881393,3.999481201171875
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v2,0,0.0718000009655952,4.804856777191162
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,5,0.1141000017523765,4.2156171798706055
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet56v1,0,0.0961999967694282,4.581637382507324
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,2,0.1572999954223632,3.803067922592163
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v2,0,0.1870999932289123,3.613538265228272
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,6,0.1729000061750412,3.7615809440612793
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,4,0.0870999991893768,4.5096845626831055
ResNet20v1,ff,cw,0,cwl2,targeted_2nd,ResNet56v1,0,0.3174999952316284,2.836663722991944
ResNet20v1,ff,cw,0,cwl2,targeted_ll,ResNet56v1,0,0.682699978351593,1.4910032749176023
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,4,0.1510999947786331,3.888168811798096
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v2,0,0.1142999976873397,4.179528713226318
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,3,0.0903000012040138,4.473517894744873
ResNet20v1,ff,cw,0,pgd,targeted_ll,ResNet20v1,7,0.0869999974966049,4.610837459564209
ResNet20v1,ff,cw,0,cwl2,targeted_ll,ResNet56v1,1,0.6891000270843506,1.4451572895050049
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,0,0.3064000010490417,3.028864622116089
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v1,0,0.0564999990165233,6.067915439605713
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,3,0.18469999730587,3.6276328563690186
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet20v1,2,0.275299996137619,3.0805888175964355
ResNet20v1,ff,cw,0,cwl2,untargeted,ResNet56v1,0,0.3174999952316284,2.817528009414673
ResNet20v1,ff,cw,0,pgd,untargeted,ResNet56v2,2,0.1779000014066696,3.660780429840088
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg19,1,0.4198000133037567,3.036876678466797
ResNet20v1,ff,cw,0,pgd,untargeted,vgg13,1,0.6930000185966492,1.766999363899231
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg19,0,0.4063000082969665,3.199077606201172
ResNet20v1,ff,cw,0,pgd,untargeted,vgg11,0,0.5733000040054321,2.070663452148437
ResNet20v1,ff,cw,0,pgd,untargeted,vgg19,2,0.6531999707221985,2.059464931488037
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,0,0.6611999869346619,2.1146469116210938
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,1,0.4135000109672546,2.980586051940918
ResNet20v1,ff,cw,0,pgd,untargeted,vgg13,4,0.652999997138977,1.8742605447769165
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,2,0.607699990272522,2.165196657180786
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,0,0.4251999855041504,2.999812602996826
ResNet20v1,ff,cw,0,pgd,untargeted,vgg16,1,0.6262000203132629,2.223799705505371
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg16,2,0.3752999901771545,3.233914375305176
ResNet20v1,ff,cw,0,pgd,untargeted,vgg11,4,0.6001999974250793,1.979703068733216
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg11,1,0.4207000136375427,2.59403133392334
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg19,2,0.4178999960422516,3.050191879272461
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg13,4,0.4501999914646148,2.8357090950012207
ResNet20v1,ff,cw,0,pgd,untargeted,vgg19,4,0.6858000159263611,1.8178777694702148
ResNet20v1,ff,cw,0,pgd,targeted_ll,vgg13,1,0.4733999967575073,2.736592531204224
